descriptor,arm,ref,n,ref_mean,arm_mean,ccc,r,bias,loa_lo,loa_hi,bias_pct,loa_lo_pct,loa_hi_pct,mdape,n_mdape,wilcoxon_p,wins_graph,wins_jpeg,ties,w1_mean,w1_median,ks_mean,ks_median,w1_wilcoxon_p,w1_wins_graph,w1_wins_jpeg,ks_wilcoxon_p,ks_wins_graph,ks_wins_jpeg
n_components,GRAPH,REF,715,4.509090909090909,4.40979020979021,0.7662579875867552,0.7756794348008087,-0.0993006993006993,-0.9418805850338209,0.7432791864324223,-2.2022332506203477,-20.88848071647587,16.484014215235174,0.0,715.0,7.349172650712147e-41,251.0,23.0,441.0,,,,,,,,,,
n_components,JPEG,REF,715,4.509090909090909,7.619580419580419,-0.009225289928438303,-0.08989857945351627,3.1104895104895105,-19.516442582330463,25.737421603309485,68.98263027295286,-432.824331462974,570.7895920088797,0.0,715.0,7.349172650712147e-41,251.0,23.0,441.0,,,,,,,,,,
n_components,PRE,REF,715,4.509090909090909,4.40979020979021,0.7662579875867552,0.7756794348008087,-0.0993006993006993,-0.9418805850338209,0.7432791864324223,-2.2022332506203477,-20.88848071647587,16.484014215235174,0.0,715.0,,,,,,,,,,,,,,
n_components,SEG,REF,715,4.509090909090909,4.4475524475524475,0.8113150767378877,0.8158577761232999,-0.06153846153846154,-0.8353577294730663,0.7122808063961432,-1.3647642679900747,-18.5260786778301,15.79655014184995,0.0,715.0,,,,,,,,,,,,,,
n_components,GRAPH_TAGGED,REF,715,4.509090909090909,4.40979020979021,0.7662579875867552,0.7756794348008087,-0.0993006993006993,-0.9418805850338209,0.7432791864324223,-2.2022332506203477,-20.88848071647587,16.484014215235174,0.0,715.0,,,,,,,,,,,,,,
n_components,GRAPH,PRE,715,4.40979020979021,4.40979020979021,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,715.0,,,,,,,,,,,,,,
n_components,SEG,PRE,715,4.40979020979021,4.4475524475524475,0.9562210152733213,0.9580469225115724,0.03776223776223776,-0.3361158783966152,0.4116403539210907,0.8563273073263558,-7.622037838679984,9.334692453332693,0.0,715.0,,,,,,,,,,,,,,
total_length_px,GRAPH,REF,715,260.1708249712646,230.03880359087276,0.7238903807438488,0.856118367234232,-30.13202138039188,-83.05702055971842,22.79297779893467,-11.581629640341074,-31.924033207371316,8.76077392668917,10.017198580958553,715.0,4.994508903062753e-09,216.0,499.0,0.0,,,,,,,,,,
total_length_px,JPEG,REF,715,260.1708249712646,319.734223467011,-0.027772098975843,-0.08688839164019903,59.563398495746405,-548.2357237775967,667.3625207690894,22.8939576535244,-210.7214457417154,256.50936104876416,5.016065281152861,715.0,4.994508903062753e-09,216.0,499.0,0.0,,,,,,,,,,
total_length_px,PRE,REF,715,260.1708249712646,234.66599418988216,0.7621616642551649,0.8591201448766325,-25.504830781382466,-78.32339376711006,27.31373220434513,-9.803109470171925,-30.10460291839438,10.49838397805053,8.26478034601488,715.0,,,,,,,,,,,,,,
